0
Table 4.10: Most important species of urease-producing bacteria
Obligate urease-producing bacteria (> 98%)
"• 
Proteus spp.
• 
Providencia rettgeri
• 
Morganella morganii
• 
Corynebacterium urealyticum
• 
Ureaplasma urealyticum"
Facultative urease-producing bacteria
"• 
Enterobacter gergoviae
• 
Klebsiella spp.
• 
Providencia stuartii
• 
Serratia marcescens
• 
Staphylococcus spp."
"CAUTION:  0-5% of Escherichia coli, Enterococcus spp. and Pseudomonas aeruginosa strains may  
produce urease."
